sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,undefined,450,,,,,,,0.18572,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,undefined,500,,,,,,,0.24124,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,undefined,550,,,,,,,0.29676,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,undefined,600,,,,,,,0.35228,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,undefined,650,,,,,,,0.4078,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,undefined,700,,,,,,,0.46332,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,undefined,750,,,,,,,0.51884,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,undefined,800,,,,,,,0.57436,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,undefined,850,,,,,,,0.62988,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,undefined,900,,,,,,,0.68541,,,
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,350,2.1341e+26,0.00060843,0.000041488,,0.000066791,0.77883,0.041668,24103.355187042,0.000107526,0.0001380609
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,400,2.1538e+26,0.00057187,0.000045835,,0.000078648,0.75838,0.073484,21817.3884586015,0.0001349516,0.0001779472
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,450,2.1734e+26,0.00053531,0.000050182,,0.00008956,0.73793,0.1053,19927.4640309274,0.0001598381,0.0002166033
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,500,2.1931e+26,0.00049875,0.000054529,,0.000099527,0.71748,0.13712,18338.8655577766,0.0001816579,0.0002531888
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,550,2.2128e+26,0.00046219,0.000058876,,0.00010855,0.69703,0.16893,16984.8495142333,0.0002001342,0.0002871243
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,600,,,0.000063223,,0.00011663,0.67659,0.20075,15817.0286130048,0.000215152,0.0003179947
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,650,,,0.00006757,,0.00012376,0.65614,0.23256,14799.4672191801,0.0002266766,0.0003454699
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,700,,,0.000071917,,0.00012995,0.63569,0.26438,13904.9181695566,0.0002348124,0.0003693819
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,750,,,0.000076264,,0.00013519,0.61524,0.29619,13112.3465855449,0.0002396457,0.0003895157
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,800,,,0.000080611,,0.00013949,0.59479,0.32801,12405.2548659612,0.0002413748,0.0004058151
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,undefined,850,,,0.000084958,,0.00014285,0.57434,0.35983,11770.5219049413,0.0002401907,0.000418203
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,350,1.9819e+26,0.0002048,0.000095954,,0.000047217,0.51356,0.009231,10421.6603789316,0.0000232345,0.0000452421
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,400,1.9882e+26,0.00019406,0.00010382,,0.000054792,0.51817,0.020761,9632.0554806396,0.000028917,0.000055806
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,450,1.9945e+26,0.00018332,0.00011169,,0.000062367,0.52277,0.032291,8953.35303071,0.0000348253,0.000066617
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,500,2.0009e+26,0.00017258,0.00011956,,0.000069943,0.52738,0.043821,8364.0013382402,0.0000409169,0.0000775852
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,550,2.0072e+26,0.00016184,0.00012743,,0.000077518,0.53198,0.055351,7847.4456564388,0.0000471556,0.0000886417
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,600,,,0.0001353,,0.000085093,0.53658,0.06688,7390.9830007391,0.0000535168,0.0000997368
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,650,,,0.00014317,,0.000092669,0.54119,0.07841,6984.7034993365,0.0000599814,0.0001108325
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,700,,,0.00015104,,0.00010024,0.54579,0.08994,6620.7627118644,0.0000665258,0.000121889
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,750,,,0.00015891,,0.00010782,0.5504,0.10147,6292.8701780882,0.0000731556,0.0001329135
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,800,,,0.00016678,,0.00011539,0.555,0.113,5995.9227725147,0.0000798348,0.0001438465
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31243,Ca9Zn4.5−xAl2x/3Sb9_ x=0.5,undefined,850,,,0.00017465,,0.00012297,0.55961,0.12453,5725.737188663,0.0000865824,0.0001547192
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,350,1.3386e+26,0.000095225,0.00050822,,0.00005154,0.38895,-0.00091969,1967.6518043367,0.0000052268,0.0000134383
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,400,1.3414e+26,0.000088603,0.00050904,,0.000057886,0.38979,0.0041924,1964.482162502,0.0000065826,0.0000168875
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,450,1.3441e+26,0.000081982,0.00050986,,0.000064231,0.39063,0.0093045,1961.3227160397,0.0000080917,0.0000207144
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,500,1.3468e+26,0.00007536,0.00051068,,0.000070577,0.39147,0.014417,1958.1734158377,0.0000097539,0.000024916
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,550,1.3495e+26,0.000068738,0.00051149,,0.000076922,0.39231,0.019529,1955.0724354337,0.0000115682,0.0000294873
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,600,,,0.00051231,,0.000083268,0.39315,0.024641,1951.9431594152,0.0000135339,0.0000344243
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,650,,,0.00051313,,0.000089614,0.39399,0.029753,1948.8238847855,0.0000156504,0.0000397227
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,700,,,0.00051395,,0.000095959,0.39484,0.034865,1945.7145636735,0.0000179164,0.0000453763
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,750,,,0.00051477,,0.0001023,0.39568,0.039977,1942.6151485129,0.00002033,0.00005138
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,800,,,0.00051559,,0.00010865,0.39652,0.045089,1939.5255920402,0.0000228958,0.0000577417
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31244,Ca9Zn4.5−xAl2x/3Sb9_ x=1,undefined,850,,,0.00051641,,0.000115,0.39736,0.050201,1936.4458472919,0.0000256095,0.0000644491
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,350,2.1391e+26,0.00061074,0.000040839,,0.000073061,0.77724,0.046034,24486.3978060188,0.0001307062,0.0001681671
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,400,2.1322e+26,0.00056199,0.000045036,,0.000080716,0.75732,0.077423,22204.458655298,0.0001446637,0.0001910205
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,450,2.1253e+26,0.00051324,0.000049233,,0.000088372,0.73741,0.10881,20311.5796315479,0.0001586255,0.0002151117
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,500,2.1184e+26,0.00046449,0.000053429,,0.000096028,0.71749,0.1402,18716.4274083363,0.0001725912,0.0002405486
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,550,,,0.000057626,,0.00010368,0.69758,0.17159,17353.2780342207,0.0001865398,0.0002674099
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,600,,,0.000061823,,0.00011134,0.67766,0.20298,16175.2098733481,0.0002005175,0.000295897
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,650,,,0.000066019,,0.000119,0.65775,0.23437,15147.1546070071,0.0002144989,0.00032611
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,700,,,0.000070216,,0.00012665,0.63783,0.26576,14241.7682579469,0.0002284411,0.0003581536
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,750,,,0.000074413,,0.00013431,0.61792,0.29715,13438.5120879416,0.0002424197,0.0003923156
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,800,,,0.00007861,,0.00014196,0.598,0.32853,12721.027859051,0.0002563623,0.0004286995
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31245,Ca9Zn4.5−xCuxSb9_ x=0,undefined,850,,,0.000082806,,0.00014962,0.57809,0.35992,12076.419583122,0.0002703445,0.0004676512
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,350,2.4993e+26,0.0010656,0.000016808,,0.000082976,0.89882,0.15476,59495.4783436459,0.0004096274,0.000455739
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,400,2.4982e+26,0.00099738,0.000018774,,0.000090301,0.8846,0.209,53265.1539362949,0.0004343385,0.0004909999
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,450,2.4972e+26,0.00092915,0.00002074,,0.000097626,0.87038,0.26323,48216.0077145612,0.0004595389,0.000527975
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,500,2.4961e+26,0.00086091,0.000022706,,0.00010495,0.85616,0.31746,44041.2225843389,0.0004850922,0.0005665905
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,550,,,0.000024673,,0.00011228,0.84193,0.37169,40530.1341547441,0.0005109552,0.0006068856
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,600,,,0.000026639,,0.0001196,0.82771,0.42592,37538.9466571568,0.0005369631,0.0006487334
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,650,,,0.000028605,,0.00012693,0.81349,0.48016,34958.9232651634,0.0005632311,0.0006923639
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,700,,,0.000030571,,0.00013425,0.79927,0.53439,32710.7389355926,0.0005895477,0.0007376077
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,750,,,0.000032537,,0.00014158,0.78504,0.58862,30734.2410179181,0.0006160647,0.0007847558
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,800,,,0.000034503,,0.0001489,0.77082,0.64285,28982.9869866388,0.0006425879,0.000833642
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31246,Ca9Zn4.5−xCuxSb9_ x=0.05,undefined,850,,,0.000036469,,0.00015623,0.7566,0.69709,27420.5489593902,0.0006692756,0.0008845832
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,350,3.1795e+26,0.00085842,0.000019941,,0.000085262,0.91123,0.13076,50147.9364124166,0.0003645559,0.0004000701
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,400,3.1245e+26,0.00081664,0.000021894,,0.000092102,0.89715,0.17956,45674.6140495113,0.0003874476,0.0004318649
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,450,3.0695e+26,0.00077485,0.000023847,,0.000098941,0.88306,0.22837,41933.9958904684,0.0004105054,0.0004648669
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,500,3.0144e+26,0.00073307,0.0000258,,0.00010578,0.86897,0.27718,38759.6899224806,0.000433698,0.0004990943
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,550,,,0.000027754,,0.00011262,0.85489,0.32598,36030.8424010953,0.0004569887,0.0005345585
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,600,,,0.000029707,,0.00011946,0.8408,0.37479,33662.0998417881,0.0004803814,0.0005713385
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,650,,,0.00003166,,0.0001263,0.82672,0.42359,31585.5969677827,0.0005038437,0.000609449
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,700,,,0.000033613,,0.00013314,0.81263,0.4724,29750.3941927231,0.0005273632,0.0006489586
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,750,,,0.000035566,,0.00013998,0.79855,0.52121,28116.7407074172,0.0005509307,0.0006899138
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,800,,,0.000037519,,0.00014682,0.78446,0.57001,26653.1623977185,0.0005745386,0.0007324001
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31247,Ca9Zn4.5−xCuxSb9_ x=0.1,undefined,850,,,0.000039473,,0.00015366,0.77037,0.61882,25333.7724520558,0.0005981657,0.0007764655
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,350,4.2321e+26,0.00072859,0.000018801,,0.000081112,0.98606,0.098663,53188.6601776501,0.0003499365,0.0003548836
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,400,4.2136e+26,0.00067992,0.000020642,,0.000088124,0.95679,0.15717,48444.9181280884,0.0003762155,0.0003932059
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,450,4.1952e+26,0.00063124,0.000022484,,0.000095136,0.92752,0.21568,44476.0718733321,0.0004025466,0.0004340032
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,500,4.1767e+26,0.00058256,0.000024325,,0.00010215,0.89825,0.27419,41109.9691675231,0.000428967,0.0004775586
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,550,,,0.000026167,,0.00010916,0.86898,0.3327,38216.0736805901,0.0004553791,0.0005240387
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,600,,,0.000028008,,0.00011617,0.8397,0.39121,35704.0845472722,0.0004818434,0.000573828
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,650,,,0.000029849,,0.00012318,0.81043,0.44972,33501.9598646521,0.0005083357,0.000627242
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,700,,,0.000031691,,0.0001302,0.78116,0.50823,31554.7000725758,0.0005349165,0.0006847721
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,750,,,0.000033532,,0.00013721,0.75189,0.56674,29822.2593343672,0.0005614513,0.00074672
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,800,,,0.000035374,,0.00014422,0.72262,0.62525,28269.3503703285,0.0005879858,0.000813686
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31248,Ca9Zn4.5−xCuxSb9_ x=0.15,undefined,850,,,0.000037215,,0.00015123,0.69334,0.68376,26870.8853956738,0.0006145509,0.000886363
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,350,5.3814e+26,0.00061381,0.000020665,,0.000082687,1.0858,0.07855,48390.999274135,0.000330856,0.0003047118
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,400,5.467e+26,0.00056037,0.000022606,,0.000089742,1.053,0.13097,44236.0435282668,0.0003562606,0.0003383291
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,450,5.5526e+26,0.00050693,0.000024547,,0.000096796,1.0202,0.1834,40738.1757444902,0.0003816949,0.0003741374
27913,10.1021/acs.chemmater.6b02498,25099,10(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,500,5.6383e+26,0.00045349,0.000026488,,0.00010385,0.98738,0.23582,37752.9447296889,0.0004071588,0.0004123628
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,550,,,0.00002843,,0.0001109,0.95457,0.28825,35174.1118536757,0.0004325997,0.0004531881
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,600,,,0.000030371,,0.00011796,0.92176,0.34067,32926.1466530572,0.0004581529,0.0004970414
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,650,,,0.000032312,,0.00012501,0.88895,0.3931,30948.2545184452,0.0004836439,0.0005440619
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,700,,,0.000034253,,0.00013207,0.85614,0.44552,29194.523107465,0.000509225,0.0005947918
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,750,,,0.000036194,,0.00013912,0.82332,0.49794,27628.8887660938,0.0005347399,0.0006494921
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,800,,,0.000038136,,0.00014618,0.79051,0.55037,26221.942521502,0.000560326,0.0007088158
27913,10.1021/acs.chemmater.6b02498,25101,11(a),31249,Ca9Zn4.5−xCuxSb9_ x=0.2,undefined,850,,,0.000040077,,0.00015323,0.7577,0.60279,24951.9674626344,0.000585858,0.0007732058
